GAME_ID,Date,HomeTeam,AwayTeam,HomeSpread_AtOpen,HomeSpread_AtClose,Over_AtOpen,Over_AtClose,HomeML,AwayML,2H_HomeSpread,2H_Over,Team,Notes,Injured,Player,Season,pos,age,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws_per_48,obpm,dbpm,bpm,vorp,mp,pk,WL_HOME
0020800001,2008-10-28,BOS,CLE,-7.0,-6.0,179.5,182.5,-260,220,-5.0,93.5,BOS,placed on IL,True,J.R. Giddens,2009,SF,23,26.0,0.667,0.0,0.0,31.9,14.5,0.0,6.6,0.0,25.0,23.3,0.0,0.0,0.201,2.9,4.2,7.2,0.0,8,30.0,1
0020800001,2008-10-28,BOS,CLE,-7.0,-6.0,179.5,182.5,-260,220,-5.0,93.5,CLE,placed on IL with fractured left wrist,True,Darnell Jackson,2009,PF,23,7.2,0.483,0.023,0.407,9.2,14.7,2.7,1.3,0.7,12.1,12.7,0.2,0.7,0.094,-5.4,0.2,-5.2,-0.4,455,52.0,1
0020800001,2008-10-28,BOS,CLE,-7.0,-6.0,179.5,182.5,-260,220,-5.0,93.5,CLE,placed on IL,True,Jawad Williams,2009,SF,25,14.1,0.5,0.5,0.0,6.2,5.7,0.0,2.7,0.0,7.7,30.7,0.0,0.0,0.045,-1.1,-2.5,-3.5,0.0,20,61.0,1
0020800002,2008-10-28,CHI,MIL,-6.0,-6.0,196.0,198.0,-270,230,-3.0,101.5,CHI,placed on IL with dislocated right shoulder,True,Larry Hughes,2009,SF-SG,30,13.41227181,0.5151227181,0.3463965517,0.2599807302,1.189350913,11.01389452,12.57515213,2.469675456,0.6803245436,10.29482759,20.60517241,0.6070993915,0.9803245436,0.06994219067,-0.8983772819,0.4267748479,-0.4716024341,0.4570993915,1479,8.0,1
0020800002,2008-10-28,CHI,MIL,-6.0,-6.0,196.0,198.0,-270,230,-3.0,101.5,CHI,placed on IL with ankle injury,True,Michael Ruffin,2009,PF,32,10.3,0.381,0.0,0.286,20.9,18.0,0.0,4.7,2.3,20.2,13.3,0.0,0.1,0.08,-4.9,1.9,-3.0,0.0,40,32.0,1
0020800002,2008-10-28,CHI,MIL,-6.0,-6.0,196.0,198.0,-270,230,-3.0,101.5,MIL,placed on IL,True,Austin Croshere,2009,PF,33,14.2165,0.449425,0.384855,0.30806,12.7305,28.091,14.386,0.5195,0.8235,11.928,22.9725,0.027,0.0885,0.051955,0.9225,-1.111,-0.2155,0.0385,100,12.0,1
0020800002,2008-10-28,CHI,MIL,-6.0,-6.0,196.0,198.0,-270,230,-3.0,101.5,MIL,placed on IL,True,Damon Jones,2009,PG,32,6.2,0.485,0.824,0.0,0.0,6.9,9.8,1.4,0.0,15.0,16.6,-0.1,0.1,-0.007,-2.4,-1.6,-4.0,-0.1,108,61.0,1
0020800002,2008-10-28,CHI,MIL,-6.0,-6.0,196.0,198.0,-270,230,-3.0,101.5,MIL,placed on IL,True,Ramon Sessions,2009,PG,22,17.6,0.525,0.044,0.457,3.3,11.7,34.6,2.0,0.3,14.0,22.4,3.5,2.1,0.123,1.4,0.1,1.6,1.9,2173,56.0,1
0020800003,2008-10-28,LAL,POR,-7.0,-8.0,196.5,195.0,-370,305,1.0,96.0,LAL,placed on IL,True,Sun Yue,2009,SG,23,-8.6,0.273,0.545,0.0,0.0,0.0,9.8,1.8,2.8,21.4,22.0,-0.2,0.0,-0.226,-17.2,-2.3,-19.4,-0.1,28,40.0,1
0020800003,2008-10-28,LAL,POR,-7.0,-8.0,196.5,195.0,-370,305,1.0,96.0,POR,placed on IL with left foot injury,True,Martell Webster,2009,SF,22,-8.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,-0.204,-9.4,-4.8,-14.2,0.0,5,6.0,1
